Land;Bundesländer;Population;Stand
AT;Burgenland;297583;2022
AT;Kärnten;569000;2023
AT;Niederösterreich;16798796;2022
AT;Oberösterreich;1505140;2022
AT;Salzburg;155426;2022
AT;Steiermark;1252922;2022
AT;Tirol;764102;2022
AT;Vorarlberg;401674;2022
AT;Wien;1982442;2023
CH;Zürich;1564228;2023
CH;Bern;1047111;2023
CH;Vaud;822790;2023
CH;Aargau;702894;2023
CH;St. Gallen;519136;2023
CH;Genève;509269;2023
CH;Luzern;420239;2023
CH;Valais;353085;2023
CH;Ticino;352156;2023
CH;Fribourg;329735;2023
CH;Basel-Landschaft;292718;2023
CH;Thurgau;285930;2023
CH;Solothurn;280170;2023
CH;Graubünden;201342;2023
CH;Basel-Stadt;195907;2023
CH;Neuenburg;176127;2023
CH;Schwyz;163677;2023
CH;Zug;129764;2023
CH;Schaffhausen;83989;2023
CH;Jura;73776;2023
CH;Appenzell Ausserrhoden;55.575;2023
CH;Nidwalden;43882;2023
CH;Glarus;41186;2023
CH;Obwalden;38427;2023
CH;Uri;37040;2023
CH;Appenzell Innerrhoden;16357;2023
DE;Nordrhein-Westfalen;17924591;2021
DE;Bayern;13176989;2021
DE;Baden-Württemberg;11124642;2021
DE;Berlin;3677472;2021
DE;Brandenburg;2537868;2021
DE;Bremen;676463;2021
DE;Hamburg;1853935;2021
DE;Hessen;6295017;2021
DE;Mecklenburg-Vorpommern;1611160;2021
DE;Niedersachsen;8027031;2021
DE;Rheinland-Pfalz;4043002;2021
DE;Saarland;982348;2021
DE;Sachsen;4043002;2021
DE;Sachsen-Anhalt;2169253;2021
DE;Schleswig-Holstein;2922005;2021
DE;Thüringen;2108863;2021